type,package,adult,student,nsf,child
Combo,4 Classes,120,85,90,Not Available
Combo,10 Classes,250,175,175,Not Available
Combo,Monthly Unlimited,290,195,205,Not Available
Fitness,Drop in,25,15,20,Not Available
Fitness,4 Classes,85,60,70,Not Available
Fitness,10 Classes,200,140,140,Not Available
Fitness,Monthly Unlimited,220,155,160,Not Available
Martial Arts,Drop in,30,20,25,18
Martial Arts,4 Classes,100,70,80,60
Martial Arts,10 Classes,235,165,165,140
Martial Arts,Monthly Unlimited,270,180,190,160
Martial Arts,Beginner (4 classes),110,80,80,70
